Sistema,K,precision,ndcg,mrr,map,pdf_match
BM25,1,0.4,0.4,0.4,0.4,0.9133333333333333
BM25,3,0.62,0.5309487605714333,0.5,0.5,0.98
BM25,10,0.7533333333333333,0.5812361582424579,0.5255079365079365,0.5255079365079365,0.9933333333333333
MiniLM,1,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.9333333333333333
MiniLM,3,0.38,0.31539531690476386,0.29333333333333333,0.29333333333333333,0.9866666666666667
MiniLM,10,0.6333333333333333,0.40865443612813257,0.3393809523809524,0.3393809523809524,0.9933333333333333
MPNet,1,0.31333333333333335,0.31333333333333335,0.31333333333333335,0.31333333333333335,0.9533333333333334
MPNet,3,0.49333333333333335,0.4155534436666694,0.38888888888888884,0.38888888888888884,0.9733333333333334
MPNet,10,0.7133333333333334,0.49633093881807344,0.428462962962963,0.428462962962963,0.9933333333333333
Hybrid Linear (a=0.3),1,0.46,0.46,0.46,0.46,0.9533333333333334
Hybrid Linear (a=0.3),3,0.6466666666666666,0.5681720387380985,0.5411111111111111,0.5411111111111111,0.9933333333333333
Hybrid Linear (a=0.3),10,0.88,0.6565043337043642,0.5862089947089948,0.5862089947089948,0.9933333333333333
Hybrid Log (a=0.3),1,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.9533333333333334
Hybrid Log (a=0.3),3,0.6666666666666666,0.5823782370952416,0.5533333333333333,0.5533333333333333,0.9933333333333333
Hybrid Log (a=0.3),10,0.8866666666666667,0.6624497788570392,0.5923439153439154,0.5923439153439154,0.9933333333333333
